"","Name","Designation","Department","Qualification"
"22","AGASIE,ROBERT","Instrmt Innovator/Ins","Engineering Physics","MS 1997 Univ of Wisconsin-Madison"
"23","AGOKE,ADEOLA","Asst Faculty Assoc","African Cultural Studies","MA 2013 Univ of Wisconsin-Madison"
"24","AHLGREN,KATHERINE","Lecturer","Ed Leadership&amp;Policy Analysis","PHD 2010 Univ of Wisconsin-Madison"
"25","AHLQUIST,PAUL GERALD","Professor","Plant Pathology","PHD 1981 Univ of Wisconsin-Madison"
"26","AHMAD,NIHAL","Professor","Dermatology","PHD 1989 University of Lucknow"
"27","AHMED,AZAM SYED","Asst Professor (CHS)","Neurological Surgery","MD 2003 Loyola University of Chicago"
"28","AHN,SUE","Professor","Civil &amp; Environmental Engr","PHD 2005 Univ of California Berkeley"
"29","AHN,YEOHYUN","Assistant Professor","Art","MFA 2007 Maryland Institute Colg Of Art"
"30","AHRENS,SARAH ELIZABETH","Clinical Assoc Prof","Medicine","MD 2002 U of California San Francisco"
"31","AIKEN,JEFFREY P","Adjunct Professor","Civil &amp; Environmental Engr","JD 1972 Marquette University"
"32","AIZAWA,NAOKI","Assistant Professor","Economics","PHD 2014 University of Pennsylvania"
"33","AJMANI,VIVEK","Assoc Faculty Assoc","Engr Professional Development"," "
"34","AKELLA,ADITYA","Professor","Computer Sciences","PHD 2005 Carnegie-Mellon University"
"35","AL-ADRA,DAVID","Assistant Professor","Surgery","PHD 2012 University of Alberta"
"36","ALAGAPPAN,RAM","Assoc Lecturer","Computer Sciences","PHD 2019 Univ of Wisconsin-Madison"
"37","ALAGOZ,OGUZHAN","Professor","Industrial &amp; Systems Engr","PHD 2004 University of Pittsburgh"
"38","ALARCON,CAROLINA","Visiting Asst Prof","Art History","PHD 2018 Florida State University"
"39","ALARID,ELAINE","Professor","Oncology","PHD 1991 Univ of California Berkeley"
"40","ALATOUT,SAMER N","Associate Professor","Community &amp; Environ Sociology","PHD 2002 Cornell University"
"41","ALBARGHOUTHI,AWS","Assistant Professor","Computer Sciences","PHD 2014 University of Toronto"
"42","ALBER,NADIA","Lecturer","Cals Academic Affairs","MS 2011 Univ of Wisconsin-Madison"
"43","ALBERS,CRAIG","Associate Professor","Educational Psychology","PHD 2002 Arizona State University"
"44","ALBERT,LAURA","Professor","Industrial &amp; Systems Engr","PHD 2006 Univ of IL at Urbana-Champaign"
"45","ALBERTINI,MARK RICHARD","Professor","Medicine","MD 1984 University of Vermont"
"46","ALBRECHT,PETER","Adjunct Instructor","Law School","JD 1986 Washington University"
"47","ALBRECHT,RALPH MUEHL","Professor","Animal Sciences","PHD 1977 Univ of Wisconsin-Madison"
"48","ALCALA GALAN,MERCEDES","Associate Professor","Spanish And Portuguese","PHD 1994 Univ Complutense de Madrid"
"49","ALDAG,RAY","Professor","Management &amp; Human Resources","PHD 1974 Michigan State University"
"50","ALDER,SIMEON DAVID","Visiting Asst Prof","Economics","PHD 2009 Univ of California Los Angeles"
"51","ALEXANDER,ANDREW LAFAYETTE","Professor","Medical Physics","PHD 1994 University of Arizona"
"52","ALEXANDER,ANGELA","Faculty Associate","English","MA 2011 University Of Central Florida"
"53","ALEXANDER,CAROLINE","Professor","Oncology","PHD 1985 Univ of Kent at Canterbury"
"54","ALEXANDER,LACEY ANN","Asst Faculty Assoc","Gender And Women Studies","PHD 2018 Univ of Wisconsin-Madison"
"55","ALGABLI,SALAH AHMED ALI","Assoc Faculty Assoc","Inst Reg Intl Studies","BA 2008 Univ of Wisconsin-Madison"
"56","ALI,SHANTEL D","Asst Prof Of Mil Sci","Military Science","BA 2002 "
"57","ALI,SYED EKHTEYAR","Senior Lecturer","South Asian Sum Lang Instit","PHD  "
"58","ALIBALI,MARTHA W","Professor","Psychology","PHD 1994 University of Chicago"
"59","ALISCH,REID S","Assistant Professor","Neurological Surgery","PHD 2003 Univ of Michigan at Ann Arbor"
"60","ALIX-GARCIA,JENNIFER","Associate Professor","Agricultural&amp;Applied Economics","PHD 2005 Univ of California Berkeley"
"61","ALKORTA,NURIA","Visiting Professor","Lat Amer Carib Iber St","PHD  "
"62","ALLEN,CAITILYN","Professor","Plant Pathology","PHD 1987 VA Polytechnic Inst &amp; State U"
"63","ALLEN,DAVID BRUCE","Professor","Pediatrics","MD 1980 Duke University"
"64","ALLEN,HEATHER","Associate Professor","French And Italian","PHD 2002 Emory University"
"65","ALLEN,MATT","Professor","Engineering Physics","PHD 2005 Georgia Inst of Technology"
"66","ALLEN-HOFFMANN,BARBARA L","Professor","Pathology&amp;Laboratory Medicine","PHD 1981 Cornell University"
"67","ALLEWAERT,MONIQUE","Associate Professor","English","PHD 2006 Duke University"
"68","ALLIE,MARK C","Faculty Associate","Electrical &amp; Computer Engr","MS 1983 Univ of Wisconsin-Madison"
"69","ALONSO,ARACELI","Dis Lecturer","Gender And Women Studies","PHD 2015 Univ of Wisconsin-Madison"
"70","ALTINO,SOH-HYUN PARK","Associate Professor","Mead Witter School Of Music","PHD 2002 Cleveland Institute Of Music"
"71","ALTSCHAFL,BETH","Faculty Associate","Academic Affairs","PHD 2006 Univ of Wisconsin-Madison"
"72","ALTSECH,MOSES","Lecturer","Marketing","PHD 1996 Pennsylvania State University"
"73","ALTWIES,JOY","Faculty Associate","Engr Professional Development","PHD 2013 Univ of Wisconsin-Madison"
"74","ALVAREZ,ELIZABETH E","Clinical Asst Prof","Medical Sciences","DVM 2008 Michigan State University"
"75","AMADOR-NOGUEZ,DANIEL","Assistant Professor","Bacteriology","PHD 2007 Baylor University"
"76","AMANN,KURT JOSEPH","Associate Professor","Integrative Biology","PHD 1999 Univ of Wisconsin-Madison"
"77","AMASINO,RICHARD M.","Professor","Biochemistry","PHD 1982 Indiana University"
"78","AMATO,FELICE CATHERINE","Lecturer","Art","PHD 2018 Univ of Wisconsin-Madison"
"79","AMINE,LAILA","Assistant Professor","English","PHD 2011 Indiana University"
"80","AMSBARY,PAUL","Adjunct Assoc Prof","Information School","MS 2007 Georgia Inst of Technology"
"81","AN,PANDUAN","Visiting Asst Prof","Statistics","PHD 2019 Ohio University"
"82","AN,ZHE GIGI","Assistant Professor","Rehab Psychology &amp; Special Ed","PHD 2018 University of Kansas"
"83","ANANTHARAMAN,KARTHIK","Assistant Professor","Bacteriology","PHD 2014 Univ of Michigan at Ann Arbor"
"84","ANCOS GARCIA,PABLO","Associate Professor","Spanish And Portuguese","PHD 2004 Univ of Wisconsin-Madison"
"85","ANDERS,CRYSTEL","Adjunct Assoc Prof","Lafollette Sch Of Publ Affairs","MSSW 1982 Univ of Wisconsin-Madison"
"86","ANDERSEN,CLAUS E","Assistant Professor","German, Nordic &amp; Slavic","PHD 2015 University of Helsinki"
"87","ANDERSON,DAVID","Professor","Electrical &amp; Computer Engr","PHD 1984 Univ of Wisconsin-Madison"
"88","ANDERSON,DAVID F","Professor","Mathematics","PHD 2005 Duke University"
"89","ANDERSON,LORI","Assistant Professor","Nursing","PHD 2006 Univ of Wisconsin-Madison"
"90","ANDERSON,MARK","Assistant Professor","Mechanical Engineering","PHD 1998 Univ of Wisconsin-Madison"
"91","ANDERSON,PAUL A","Professor","Orthopedics And Rehabilitation","MD 1979 Wayne State University"
"92","ANDERSON,PETER","Senior Lecturer","Nutritional Sciences","MS 1995 Univ of Wisconsin-Madison"
"93","ANDERSON,RICHARD A.","Professor","Administration","PHD 1982 Univ of Minnesota-Twin Cities"
"94","ANDERSON,ROZALYN","Associate Professor","Medicine","PHD 1999 Univ of Dublin-Trinity College"
"95","ANDES,DAVID R.","Professor","Medicine","MD 1992 Univ of Missouri-Columbia"
"96","ANDREAE,SUSAN J","Assistant Professor","Kinesiology","PHD 2015 Univ of Alabama at Birmingham"
"97","ANDRESEN,CHRISTIAN G.","Assistant Professor","Geography","PHD 2014 University Of Texas At El Paso"
"98","ANDREWS,CATHY","Clinical Assoc Prof","Nursing","PHD 1998 Univ of Wisconsin-Madison"
"99","ANDREWS,JOSEPH","Assistant Professor","Mechanical Engineering","PHD 2019 Duke University"
"100","ANDREWS,LISA M","Assoc Faculty Assoc","Consumer Science","MBA 2004 Univ of Wisconsin-Madison"
"101","ANDREWS,URI","Associate Professor","Mathematics","PHD 2010 Univ of California Berkeley"
"102","ANDRZEJEWSKI,ANNA","Professor","Art History","PHD 2001 University of Delaware"
"103","ANE,CECILE","Professor","Botany","PHD 2000 U de Toulouse II (Le Mirail)"
"104","ANE,JEAN-MICHEL","Professor","Bacteriology","PHD 2002 U de Toulouse II (Le Mirail)"
"105","ANEX,ROBERT","Professor","Biological Systems Engineering","PHD 1995 Univ of California Davis"
"106","ANEY,JENNIFER KAY","Clinical Assoc Prof","Communication Sci &amp; Disorders","MS 1999 Univ of Wisconsin-StevensPoint"
"107","ANGENENT,SIGURD B.","Professor","Mathematics","PHD 1986 State Univ Of Leiden"
"108","ANGULO BRACHO,HERNAN LIZARDO","Clinical Instructor","Medical Sciences","DVM 1999 Univ Ncnl Autonoma de Mexico"
"109","ANGUS,JENNIFER","Professor","School Of Human Ecology","MFA 1991 Sch Of The Art Inst Of Chicago"
"110","ANJUM,UMAR","Lecturer","South Asian Sum Lang Instit","M.PHIL  "
"111","ANNA,ERIKA","Lecturer","Nutritional Sciences","BS 2013 Univ of Wisconsin-Madison"
"112","ANSARI,ASEEM Z","Professor","Biochemistry","PHD 1995 Northwestern University"
"113","ANTONY,KATHLEEN","Asst Professor (CHS)","Obstetrics &amp; Gynecology","MD 2008 University Of Rochester"
"114","APLIN,RON","Adjunct Instructor","Law School","JD 1983 Univ of Wisconsin-Madison"
"115","ARCHAMBAULT,JOHN","Assistant Dean/L","Engineering Student Developmnt","MS 1996 Univ of Wisconsin-Green Bay"
"116","ARCHDEACON,THOMAS J.","Professor","History","PHD 1971 Columbia University"
"117","ARD,BJ","Assistant Professor","Law School","PHD 2017 Yale University"
"118","AREFEVA,ALINA","Assistant Professor","Real Estate &amp; Urgan Land Econ","PHD  Stanford University"
"119","ARENDT,LISA","Assistant Professor","Comparative Biosciences","PHD 2002 Univ of Wisconsin-Madison"
"120","ARFA,SANDRA","Faculty Associate","English","MA 2011 Univ of Wisconsin-Madison"
"121","ARINKIN,DIMA","Professor","Mathematics","PHD  Harvard University"
"122","ARMSTRONG,GRANT W","Associate Professor","Spanish And Portuguese","PHD 2011 Georgetown University"
"123","ARMSTRONG,JOSHUA","Associate Professor","French And Italian","PHD 2013 University of Virginia"
"124","ARNDT,KIMBERLY KEGEL","Clinical Asst Prof","Orthopedics And Rehabilitation","MD 2005 Univ of Wisconsin-Madison"
"125","ARNOLD,MICHAEL","Professor","Materials Science&amp;Engineering","PHD 2006 Northwestern University"
"126","ARNOLDY,COURTNEY JEANNE","Clinical Instructor","Small Animal Iii","DPT 1994 Univ of Wisconsin-Madison"
"127","ARORA,NEERAJ","Professor","Marketing","PHD 1995 Ohio State University"
"128","ARPACI-DUSSEAU,ANDREA C.","Professor","Computer Sciences","PHD 1998 Univ of California Berkeley"
"129","ARPACI-DUSSEAU,REMZI H.","Professor","Computer Sciences","PHD 1998 Univ of California Berkeley"
"130","ARRIAGA,FRANCISCO","Associate Professor","Soil Science","PHD 2000 Univ of Wisconsin-Madison"
"131","ARRIOLA APELO,SEBASTIAN I","Assistant Professor","Dairy Science","PHD 2013 VA Polytechnic Inst &amp; State U"
"132","ARTHUR,EMILY","Associate Professor","Art","MFA 2000 Pennsylvania Acad Of Fine Arts"
"133","ASCHENBROICH,SOPHIE ANN","Clinical Asst Prof","Pathobiological Sciences","PHD 2014 "
"134","ASEN,ROBERT","Professor","Communication Arts","PHD 1998 Northwestern University"
"135","ASHTON,LYDIA MAGDALENA TEJEDA","Assistant Professor","School Of Human Ecology","PHD 2014 Univ of California Berkeley"
"136","ASHTON,RANDOLPH","Associate Professor","Biomedical Engineering","PHD 2007 Rensselaer Polytechnic Inst"
"137","ASIF,MUHAMMAD","Lecturer","Asian Languages &amp; Cultures","EDD 2011 University of Leeds"
"138","ASIMAKOPOULOS,FOTIS","Clinical Adjunct Assoc Prof","Volunteer Staff","PHD 1997 University of Cambridge"
"139","ASMUS,JENNIFER M","Professor","Educational Psychology","PHD 1995 University of Iowa"
"140","ASSADI-PORTER,FARIBA MASOUMEH","Senior Scientist","Integrative Biology","PHD 1994 Univ of Wisconsin-Madison"
"141","ASTHANA,SANJAY","Professor","Medicine","MD 1980 University of Delhi"
"142","ASTOR,BRAD C","Professor","Medicine","PHD 2000 Johns Hopkins University"
"143","ASTRELLA,JULIE","Clinical Asst Prof","Nursing","MSN 2009 Edgewood College"
"144","ATAPATTU,SUMUDU","Dis Admin Prgm Spec","Law School","PHD 1998 University of Cambridge"
"145","ATTIE,ALAN DAVID","Professor","Biochemistry","PHD 1980 Univ of California San Diego"
"146","ATUCHA,AMAYA","Assistant Professor","Horticulture","PHD 2012 Cornell University"
"147","ATWOOD,CRAIG S","Associate Professor","Medicine","PHD 1993 Univ of Western Australia"
"148","ATZ,KAREN","Lecturer","Division Of Continuing Studies","BA 1977 Univ of Wisconsin-Madison"
"149","AUDHYA,ANJON","Professor","Biomolecular Chemistry","PHD 2002 Univ of California San Diego"
"150","AUERBACH,EMILY KATE","Professor","Liberal Arts &amp; Applied Studies","PHD 1981 University of Washington"
"151","AUGER,ANTHONY","Professor","Psychology","PHD 1998 Univ of Massachusetts Amherst"
"152","AUGHENBAUGH,WILLIAM","Professor (CHS)","Dermatology","MD 1997 Medical College Of Wisconsin"
"153","AULIK,NICOLE ANN","Clinical Asst Prof","Madison Microbiology","PHD 2010 Univ of Wisconsin-Madison"
"154","AUSDERAU,KARLA","Assistant Professor","Kinesiology","PHD 2009 Univ of Southern California"
"155","AUSTERWEIL,JOE","Assistant Professor","Psychology","PHD 2012 Univ of California Berkeley"
"156","AVEY,GREGORY","Asst Professor (CHS)","Radiology","MD 2005 University of Washington"
"157","AVRAMENKO,RICHARD","Professor","Political Science","PHD 2004 Georgetown University"
"158","AYARI BEN HADJ KACEM,MOUNA","Senior Lecturer","Computer Sciences","PHD 2009 Uni Pierre&amp;Marie Curie Paris"
"159","AYLWARD,WILLIAM","Professor","Classic &amp; Ancient Near E Stds","PHD 2000 University of Cincinnati"
"160","AZOCAR,SAMUEL ALEJANDRO","Senior Lecturer","English","PHD 2011 Univ of Wisconsin-Madison"
"161","AZODI,JAHANA","Asst Faculty Assoc","Theatre &amp; Drama","MFA 2014 University of Cincinnati"
"162","BABCOCK,SUE","Professor","Materials Science&amp;Engineering","PHD 1987 Massachusetts Inst Of Tech"
"163","BACH,ERIC","Professor","Computer Sciences","PHD 1984 Univ of California Berkeley"
"164","BACH,JONATHAN F.","Clinical Assoc Prof","Medical Sciences","DVM 2000 Univ Of Minnesota-St Paul"
"165","BACH,TAIYA RENAE","Asst Faculty Assoc","Nutritional Sciences","MPH 2008 Tulane University"
"166","BACK,LARISSA E","Associate Professor","Atmospheric &amp; Oceanic Sciences","PHD 2007 University of Washington"
"167","BADDOUH,M'BARK","Assoc Lecturer","Geoscience","PHD 2016 Univ of Wisconsin-Madison"
"168","BAHIA,HUSSAIN U.","Professor","Civil &amp; Environmental Engr","PHD 1991 Pennsylvania State University"
"169","BAHR,JEAN M.","Professor","Geoscience","PHD 1987 Stanford University"
"170","BAI,YANG","Associate Professor","Physics","PHD  Yale University"
"171","BAILEY,HANNAH E","Assistant Dean/M","Admin:Student Academic Affairs","MA 2013 Clg of William &amp; Mary-Virginia"
"172","BAILEY,HOWARD H","Professor","Medicine","MD 1985 University of North Dakota"
"173","BAIR,JESSE JONAS","Adjunct Instructor","Law School","JD 2013 "
"174","BAIRD,IAN","Associate Professor","Geography","PHD 2008 University of British Columbia"
"175","BAKER,BERNADETTE","Professor","Curriculum And Instruction","PHD 1997 Univ of Wisconsin-Madison"
"176","BAKER,MEI WANG","Professor (CHS)","Disease Prevention Admin","MD 1983 Anhui Medical University"
"177","BAKER,TRACY","Associate Professor","Comparative Biosciences","PHD 2001 Univ of Wisconsin-Madison"
"178","BAKKEN,LORI","Professor","School Of Human Ecology","PHD 1998 Univ of Wisconsin-Madison"
"179","BAKSHI,VAISHALI P","Associate Professor","Psychiatry","PHD 1998 Univ of California San Diego"
"180","BAL,AYDIN","Associate Professor","Rehab Psychology &amp; Special Ed","PHD 2009 Arizona State University"
"181","BALANTEKIN,A. B.","Professor","Physics","PHD 1982 Yale University"
"182","BALASUBRAMANIAM,VIVEK","Assoc Professor (CHS)","Pediatrics","MD 1995 University of Pittsburgh"
"183","BALDACCHINO,JOHN","Professor","Art","PHD 1994 University of Warwick"
"184","BALDO,BRIAN A","Associate Professor","Psychiatry","PHD 1998 Univ of California San Diego"
"185","BALDRIDGE,BIANCA J.","Assistant Professor","Educational Policy Studies","PHD 2012 Columbia University"
"186","BALLESTEROS CHAVEZ,JESUS A","Assoc Lecturer","Integrative Biology","PHD 2017 George Washington University"
"187","BALSTER,NICK","Associate Professor","Soil Science","PHD 1999 University of Idaho"
"188","BAMBERG,JOHN B","Professor","Horticulture","PHD 1988 Univ of Wisconsin-Madison"
"189","BANERJEE,MOU","Assistant Professor","History","PHD 2018 Harvard University"
"190","BANERJEE,SUMAN","Professor","Computer Sciences","PHD 2003 Univ of MD-University College"
"191","BANHOLZER,WILLIAM","Senior Scientist","Chemical &amp; Biological Engr","PHS 1983 Univ of IL at Urbana-Champaign"
"192","BANKS,MATTHEW ISAAC","Professor","Anesthesiology","PHD 1992 Univ of Wisconsin-Madison"
"193","BARAK,PHILLIP","Professor","Soil Science","PHD 1987 Hebrew University of Jerusalem"
"194","BARAK-CUNNINGHAM,JERI","Professor","Plant Pathology","PHD 2000 Univ of California Davis"
"195","BARBATO,ERIN MURPHY","Adjunct Instructor","Law School","JD 2006 Marquette University"
"196","BARCELOS,CHRIS","Assistant Professor","Gender And Women Studies","PHD 2016 Univ of Massachusetts Amherst"
"197","BARCZI,STEVE","Professor (CHS)","Medicine","MD 1989 Univ of Illinois at Chicago"
"198","BARFORD,CAROL L","Senior Lecturer","Sustainability&amp;Global Environ","PHD 1997 Harvard University"
"199","BARFORD,PAUL R","Professor","Computer Sciences","PHD 2000 Boston University"
"200","BARGER,AMY JOSEPHINE","Professor","Astronomy","PHD 1997 University of Cambridge"
"201","BARGER,VERNON","Professor","Physics","PHD 1963 Pennsylvania State U-Hershey"
"202","BARHAM,BRADFORD","Professor","Agricultural&amp;Applied Economics","PHD 1988 Stanford University"
"203","BARICH,JOSEPH","Senior Lecturer","Engr Professional Development"," "
"204","BARLETT,CARL","Lecturer","Risk &amp; Insurance","JD 2009 Univ of Wisconsin-Madison"
"205","BARNARD,ERLIN","Lecturer","Asian Studies","PHD 2011 Leeds Metropolitan University"
"206","BARNEKOW,KRIS ANN","Lecturer","Kinesiology","PHD 2003 "
"207","BARNES HELLER,HEIDI","Honorary Assoc/Fellow","Medical Sciences","DVM 2000 Michigan State University"
"208","BARNES,JILL","Assistant Professor","Kinesiology","PHD 2009 University of Texas at Austin"
"209","BARNETT,SUSANNE","Assoc Professor (CHS)","Pharmacy","PHARMD 2004 Univ of Wisconsin-Madison"
"210","BARRETT,BRUCE PATRICK","Professor","Family Medicine","PHD 1992 Univ of Wisconsin-Madison"
"211","BARRETT,CLAIRE","Student Services Cord","Prevention Services","MS 2014 Univ of Wisconsin-Madison"
"212","BARRETT,PATRICK STEPHEN","Lecturer","Studies Program","PHD 2011 Univ of Wisconsin-Madison"
"213","BARRICKMAN,JESSICA","Assoc Lecturer","Social Work","MSW 2013 Univ of Wisconsin-Madison"
"214","BARRY,AMY QUAN","Professor","English","MFA 1997 Univ of Michigan at Ann Arbor"
"215","BARRY,LYNDA","Associate Professor","Art","BA 1978 Evergreen State College"
"216","BARSON,BENJAMIN","Adjunct Asst Prof","Asian Amer St","MA 2017 University of Pittsburgh"
"217","BART,DAVID J.","Associate Professor","Planning &amp; Landscape Arch","PHD 2003 Rutgers State Univ-Newark"
"218","BARTA,CHERI","Faculty Associate","Chemistry","PHD 2011 University of British Columbia"
"219","BARTELS,CHRISTIE M","Associate Professor","Medicine","MD 2001 Creighton University"
"220","BARTFELD,JUDITH","Professor","School Of Human Ecology","PHD 1997 Univ of Wisconsin-Madison"
"221","BARTHOLOMAY,LYRIC C","Professor","Pathobiological Sciences","PHD 2004 Univ of Wisconsin-Madison"
"222","BARTHOLOMEW,KYLE","Clinical Instructor","Medical Sciences","DVM 2017 Univ of Wisconsin-Madison"
"223","BARTLETT,HEATHER L","Professor (CHS)","Pediatrics","MD 1995 University of Arizona"
"224","BARTLETT,LESLEY","Professor","Educational Policy Studies","PHD 2001 Univ Of NC At Chapel Hill"
"225","BARTOL,LAURA JEAN","Assoc Faculty Assoc","Engineering Physics","DS 2013 Univ of Wisconsin-Madison"
"226","BARUAH,SAMANTHA","Lecturer","Counseling Psychology","MBA 2017 Washington University"
"227","BARZEN,JEB A.","Adjunct Asst Prof","Planning &amp; Landscape Arch","MS 1989 University of North Dakota"
"228","BASHIRULLAH,ARASH","Associate Professor","Pharmacy","PHD 1999 California Institute of Tech"
"229","BASKAYA,MUSTAFA K","Professor","Neurological Surgery","MD 1987 Ankara University"
"230","BASTIAN,LAUREL KATHERINE","Senior Lecturer","Wisconsin School Of Business","MFA 2009 Univ of Wisconsin-Madison"
"231","BATES,DESIREE M.","Inform Process Conslt","Chemistry","PHD 2010 University Of Mississippi"
"232","BATT,BOB","Associate Professor","Operations &amp; Information Mgmt","PHD 2013 University of Pennsylvania"
"233","BATZLI,JANET MC CRAY","Acad Program Director","Biology Core Curriculum","PHD 2011 Univ of IL at Urbana-Champaign"
"234","BAUER,ADAM","Asst Professor (CHS)","Pediatrics","MD 2012 University of Iowa"
"235","BAUER,ANNIE","Assistant Professor","Geoscience","PHD 2017 Massachusetts Inst Of Tech"
"236","BAUER,DANIEL","Associate Professor","Risk &amp; Insurance","DS 2007 Universitat Ulm"
"237","BAUER-ARMSTRONG,CHERYL","Assoc Lecturer","Planning &amp; Landscape Arch","MA 2003 Harvard University"
"238","BAUM,DAVID A.","Professor","Botany","PHD 1991 Washington University"
"239","BAUMANN,LINDA","Professor Emer","Nursing","PHD 1985 Univ of Wisconsin-Madison"
"240","BAUTISTA MENDOZA,GLORIA ROCIO","Senior Lecturer","Statistics","MS2 2009 "
"241","BAUTISTA,LEONELO E","Associate Professor","Population Health Sciences","PHD 1993 Johns Hopkins University"
"242","BAVAFA,HESSAM","Assistant Professor","Operations &amp; Information Mgmt","PHD 2014 University of Pennsylvania"
"243","BAYLISS,R. ADAM BERNELL","Asst Professor (CHS)","Human Oncology","PHD 2006 Univ of Wisconsin-Madison"
"244","BAYOUTH,JOHN E","Professor","Human Oncology","PHD 1993 Univ of TX Health Sci Center"
"245","BAZALAKOVA,MIHAELA H","Asst Professor (CHS)","Neurology","PHD 2008 Vanderbilt University"
"246","BEA,MEGAN DOHERTY","Assistant Professor","School Of Human Ecology","PHD 2019 Cornell University"
"247","BEACH,JEREMY PAUL","Assoc Faculty Assoc","Agricultural&amp;Applied Economics","MS 2011 Univ of Wisconsin-Madison"
"248","BEAMSLEY,MARK B","Clinical Assoc Prof","Family Medicine","MD 1999 Loyola University of Chicago"
"249","BEAN,DEREK MERRILL","Visiting Asst Prof","Statistics","PHD 2011 Univ of California Berkeley"
"250","BEARDEN,ELIZABETH B","Professor","English","PHD 2006 New York University"
"251","BEARDMORE,ALAN B","Lecturer","Agricultural&amp;Applied Economics","PHD 2013 Simon Fraser University"
"252","BEATTIE,ROBERT","Faculty Associate","Academic Programs","PHD 1998 Massachusetts Inst Of Tech"
"253","BECHTOL,KEITH","Assistant Professor","Physics","PHD 2012 Stanford University"
"254","BECKHAM,SARAH","Asst Faculty Assoc","Asian Studies","PHD 2016 Univ of Wisconsin-Madison"
"255","BEDNAREK,SEBASTIAN YORK","Professor","Biochemistry","PHD 1992 Michigan State University"
"256","BEDNARZ,BRYAN P","Associate Professor","Medical Physics","PHD 2008 Rensselaer Polytechnic Inst"
"257","BEEBE,DAVID J","Professor","Pathology&amp;Laboratory Medicine","PHD 1994 Univ of Wisconsin-Madison"
"258","BEEBE,REBECCA","Sr Student Serv Coord","Academic Affairs","MS 2004 Univ of Wisconsin-Whitewater"
"259","BEEMELMANNS,CHRISTINE","Visiting Asst Prof","Chemistry","DS 2010 Freie Universitat Berlin"
"260","BEGAM,RICHARD J.","Professor","English","PHD 1989 University of Virginia"
"261","BEHDAD,NADER","Professor","Electrical &amp; Computer Engr","PHD 2006 Univ of Michigan at Ann Arbor"
"262","BEHM,JENNA LYNN","Lecturer","Counseling Psychology","PSYD 2014 North Central University"
"263","BEIA,SUZANNE","Artist-In-Residence","Mead Witter School Of Music","OQUAL  "
"264","BEILIN,KATARZYNA O","Professor","Spanish And Portuguese","PHD 1998 University of Chicago"
"265","BELL,DAVID R","Associate Professor","Kinesiology","PHD 2010 Univ Of NC At Chapel Hill"
"266","BELL,MICHAEL M","Professor","Community &amp; Environ Sociology","PHD 1992 Yale University"
"267","BELLING,SHAWN D","Lecturer","Engr Professional Development"," "
"268","BELLMORE,AMY","Professor","Educational Psychology","PHD 2001 University of Connecticut"
"269","BELTRAN PORTALES,DAVID","Visiting Asst Prof","Mathematics","PHD 2017 University of  Birmingham"
"270","BEMENT,WILLIAM M.","Professor","Integrative Biology","PHD 1991 Arizona State University"
"271","BENDLIN,BARBARA B","Associate Professor","Medicine","PHD 2006 University of Arizona"
"272","BENEKER,JEFFREY","Professor","Classic &amp; Ancient Near E Stds","PHD 2002 Univ Of NC At Chapel Hill"
